Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
AK1028,Alaska,AK,02,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
AK1029,Alaska,AK,02,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum age for youth possession of long guns,1980-01-01,1980,1,1,1,,,,,
AK1030,Alaska,AK,02,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or (II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
AK1031,Alaska,AK,02,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
AK1032,Alaska,AK,02,1,background checks,sales from dealer,handgun,,,,,,,,,No law requiring background checks for dealer sales of handguns,,,,,,,,,,
AK1033,Alaska,AK,02,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for dealer sales of long guns,,,,,1,,,,,
AK1034,Alaska,AK,02,7,minimum age,purchase and sale,handgun,,,,,,,,,No law imposing minimum purchase and sale age for handguns,1992-09-14,1992,9,14,1,,,,,
AK1035,Alaska,AK,02,7,minimum age,purchase and sale,long gun,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1992-09-14,1992,9,14,1,,,,,
AK1036,Alaska,AK,02,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
AK1037,Alaska,AK,02,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for long guns,,,,,1,,,,,
AK1038,Alaska,AK,02,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,,,,,1,,,,,
AK1040,Alaska,AK,02,3,castle doctrine,,handgun and long gun,Permissive,Implement,1900-01-01,"Not sure about year, so using 1/1/1900.",1900,1,1,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",1978-01-01,1978,1,1,,,,,,
AK1041,Alaska,AK,02,13,waiting period,federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(s),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or
“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law",1998-11-30,1998,11,30,,,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers. The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on November 30, 1998.",,
AK1042,Alaska,AK,02,13,waiting period,federal,handgun,Permissive,Repeal,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(s),[Repealed],,,,,,,,,,
AK1039,Alaska,AK,02,9,permit to purchase,,long gun,,,,,,No law requiring permit for the purchase of a long gun,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
AK1043,Alaska,AK,02,14,firearm removal at scene of domestic violence,,handgun and long gun,,,,,,,,,No law concerning removal of firearms at scene of domestic violence incident,1996-07-01,1996,7,1,1,,,,,
AK1044,Alaska,AK,02,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement,1996-07-01,,1996,1,1996,AS § 18.65.515(b),"If a peace officer investigating a crime involving domestic violence determines that it is necessary to protect the victim or the victim's family from domestic violence or to protect the officer or the public during the investigation, the officer may (1) seize a deadly weapon in plain view of the officer, and (2) if a deadly weapon was actually possessed during or used in the domestic violence, seize all deadly weapons owned, used, possessed, or within the control of the alleged perpetrator. If the weapon is not needed as evidence in a criminal case, the law enforcement agency having custody of the weapon, within 24 hours of making the determination that the weapon is not needed as evidence in a criminal case, shall make the weapon available for pickup by the owner of the weapon during regular business hours.",,,,,,,,,,
